"","alpha","nsamp","lamsim","nreps","meanlamest","stddevlamest","stderrlamest","pbiaslamest","meanrawlam","stddevrawlam","stderrrawlam","pbiasrawlam","npers"
"datt",0,10,0.0201,400,0.0201,0.00828,0.00041,0.09,0.0201,0.00832,0.00042,0.21,500
"resvec",0,20,0.0201,400,0.0193,0.00891,0.00045,-3.61,0.0194,0.00888,0.00044,-3.09,500
"resvec",0,40,0.0201,400,0.0193,0.00854,0.00043,-4.01,0.0193,0.00852,0.00043,-3.76,500
"resvec",0,100,0.0201,400,0.0201,0.00903,0.00045,0.35,0.0202,0.00907,0.00045,0.79,500
"resvec",0,200,0.0201,400,0.0205,0.00905,0.00045,2.27,0.0206,0.00916,0.00046,2.71,500
"resvec",0,10,0.0403,400,0.0403,0.0131,0.00066,0.09,0.0404,0.01317,0.00066,0.3,500
"resvec",0,20,0.0403,400,0.0401,0.01251,0.00063,-0.32,0.0402,0.01254,0.00063,-0.08,500
"resvec",0,40,0.0403,400,0.0402,0.01306,0.00065,-0.22,0.0402,0.01312,0.00066,-0.2,500
"resvec",0,100,0.0403,400,0.0398,0.01254,0.00063,-1.05,0.0399,0.01259,0.00063,-1.04,500
"resvec",0,200,0.0403,400,0.0401,0.01281,0.00064,-0.51,0.0402,0.013,0.00065,-0.1,500
"resvec",0,10,0.1017,400,0.1031,0.02008,0.001,1.36,0.1033,0.02063,0.00103,1.55,500
"resvec",0,20,0.1017,400,0.1012,0.01872,0.00094,-0.54,0.1013,0.01874,0.00094,-0.39,500
"resvec",0,40,0.1017,400,0.1026,0.02032,0.00102,0.88,0.1027,0.02045,0.00102,0.92,500
"resvec",0,100,0.1017,400,0.1014,0.01802,9e-04,-0.28,0.1013,0.0183,0.00091,-0.45,500
"resvec",0,200,0.1017,400,0.1021,0.02142,0.00107,0.37,0.1024,0.02181,0.00109,0.68,500
"resvec",0,10,0.2071,400,0.207,0.02738,0.00137,-0.09,0.2073,0.02822,0.00141,0.09,500
"resvec",0,20,0.2071,400,0.2066,0.02771,0.00139,-0.25,0.2078,0.02907,0.00145,0.32,500
"resvec",0,40,0.2071,400,0.207,0.02683,0.00134,-0.08,0.2073,0.0281,0.0014,0.08,500
"resvec",0,100,0.2071,400,0.2087,0.02763,0.00138,0.74,0.2088,0.02824,0.00141,0.78,500
"resvec",0,200,0.2071,400,0.2081,0.02795,0.0014,0.44,0.2077,0.02918,0.00146,0.24,500
"resvec",0,10,0.4308,400,0.43,0.03909,0.00195,-0.19,0.4281,0.04158,0.00208,-0.63,500
"resvec",0,20,0.4308,400,0.4328,0.0389,0.00194,0.46,0.4328,0.04236,0.00212,0.45,500
"resvec",0,40,0.4308,400,0.4308,0.03979,0.00199,0,0.4318,0.04318,0.00216,0.22,500
"resvec",0,100,0.4308,400,0.4301,0.03705,0.00185,-0.17,0.4305,0.03929,0.00196,-0.09,500
"resvec",0,200,0.4308,400,0.4284,0.03902,0.00195,-0.56,0.4283,0.04166,0.00208,-0.59,500
"resvec",0,10,0.6755,400,0.6739,0.04781,0.00239,-0.23,0.6743,0.05437,0.00272,-0.17,500
"resvec",0,20,0.6755,160,0.6832,0.04511,0.00357,1.15,0.6854,0.0525,0.00415,1.47,500
"resvec",0,40,0.6755,400,0.6794,0.04947,0.00247,0.58,0.6795,0.05528,0.00276,0.6,500
"resvec",0,100,0.6755,375,0.6728,0.04599,0.00237,-0.39,0.6748,0.05268,0.00272,-0.1,500
"resvec",0,200,0.6755,88,0.6705,0.04779,0.00509,-0.74,0.6709,0.05879,0.00627,-0.68,500
"resvec",1,10,0.0201,400,0.0196,0.00939,0.00047,-2.15,0.0189,0.00898,0.00045,-5.91,500
"resvec",1,20,0.0201,400,0.0207,0.00905,0.00045,3.18,0.0208,0.00884,0.00044,3.42,500
"resvec",1,40,0.0201,400,0.02,0.00937,0.00047,-0.3,0.0201,0.00931,0.00047,0.09,500
"resvec",1,100,0.0201,400,0.0203,0.00901,0.00045,1.34,0.0204,0.00896,0.00045,1.64,500
"resvec",1,200,0.0201,400,0.0187,0.00818,0.00041,-6.67,0.0188,0.00816,0.00041,-6.09,500
"resvec",1,10,0.0403,400,0.0403,0.01275,0.00064,-0.03,0.0386,0.01229,0.00061,-4.14,500
"resvec",1,20,0.0403,400,0.0408,0.01426,0.00071,1.31,0.0406,0.0143,0.00072,0.74,500
"resvec",1,40,0.0403,400,0.0408,0.01199,6e-04,1.42,0.0409,0.01196,6e-04,1.57,500
"resvec",1,100,0.0403,400,0.0413,0.01252,0.00063,2.67,0.0415,0.01253,0.00063,2.94,500
"resvec",1,200,0.0403,400,0.0399,0.01397,7e-04,-1.04,0.0401,0.01411,0.00071,-0.54,500
"resvec",1,10,0.1017,400,0.0998,0.0209,0.00105,-1.9,0.0954,0.02013,0.00101,-6.24,500
"resvec",1,20,0.1017,400,0.102,0.01949,0.00097,0.24,0.1018,0.01963,0.00098,0.09,500
"resvec",1,40,0.1017,400,0.1016,0.01936,0.00097,-0.16,0.1018,0.01959,0.00098,0.06,500
"resvec",1,100,0.1017,400,0.1029,0.02067,0.00103,1.18,0.1028,0.02099,0.00105,1.03,500
"resvec",1,200,0.1017,400,0.1022,0.01943,0.00097,0.49,0.1022,0.01981,0.00099,0.47,500
"resvec",1,10,0.2071,400,0.2082,0.02965,0.00148,0.5,0.1994,0.02866,0.00143,-3.74,500
"resvec",1,20,0.2071,400,0.2068,0.02887,0.00144,-0.15,0.2063,0.02945,0.00147,-0.4,500
"resvec",1,40,0.2071,400,0.2071,0.02786,0.00139,-0.04,0.2073,0.02894,0.00145,0.05,500
"resvec",1,100,0.2071,400,0.2082,0.02793,0.0014,0.52,0.2085,0.02944,0.00147,0.67,500
"resvec",1,200,0.2071,400,0.2051,0.02873,0.00144,-0.97,0.2057,0.02956,0.00148,-0.7,500
"resvec",1,10,0.4308,400,0.4307,0.04164,0.00208,-0.04,0.4116,0.04179,0.00209,-4.47,500
"resvec",1,20,0.4308,400,0.4276,0.04004,0.002,-0.76,0.4266,0.04037,0.00202,-0.98,500
"resvec",1,40,0.4308,400,0.429,0.03941,0.00197,-0.44,0.4289,0.04371,0.00219,-0.44,500
"resvec",1,100,0.4308,400,0.4301,0.04105,0.00205,-0.17,0.4291,0.04434,0.00222,-0.4,500
