"","lamsim","nsamp","npers","totsamp","alpha","meanlamest","stddevlamest","stderrlamest","pbiaslamest","nreps"
"1",0.0201,2,125,250,0,0.0254,0.02172,0.00049,26.62,2000
"2",0.0201,3,83,250,0,0.0251,0.02019,0.00045,25.15,2000
"3",0.0201,4,62,250,0,0.0254,0.02298,0.00051,26.55,2000
"4",0.0201,5,50,250,0,0.0266,0.02516,0.00056,32.65,2000
"5",0.0201,6,42,250,0,0.0257,0.02567,0.00057,27.92,2000
"6",0.0403,2,125,250,0,0.0438,0.03219,0.00072,8.68,2000
"7",0.0403,3,83,250,0,0.0433,0.03355,0.00075,7.49,2000
"8",0.0403,4,62,250,0,0.0433,0.03479,0.00078,7.49,2000
"9",0.0403,5,50,250,0,0.0443,0.03771,0.00084,10,2000
"10",0.0403,6,42,250,0,0.044,0.04057,0.00091,9.37,2000
"11",0.1017,2,125,250,0,0.1014,0.0556,0.00124,-0.37,2000
"12",0.1017,3,83,250,0,0.1009,0.05456,0.00122,-0.86,2000
"13",0.1017,4,62,250,0,0.1042,0.05889,0.00132,2.42,2000
"14",0.1017,5,50,250,0,0.1017,0.06371,0.00142,0.02,2000
"15",0.1017,6,42,250,0,0.1045,0.06857,0.00153,2.76,2000
"16",0.2071,2,125,250,0,0.2084,0.08174,0.00183,0.59,2000
"17",0.2071,3,83,250,0,0.2078,0.07966,0.00178,0.29,2000
"18",0.2071,4,62,250,0,0.2053,0.08358,0.00187,-0.89,2000
"19",0.2071,5,50,250,0,0.2082,0.09161,0.00205,0.52,2000
"20",0.2071,6,42,250,0,0.2071,0.09891,0.00221,-0.03,2000
"21",0.4308,2,125,250,0,0.4325,0.11553,0.00258,0.38,2000
"22",0.4308,3,83,250,0,0.4347,0.1145,0.00256,0.9,2000
"23",0.4308,4,62,250,0,0.4323,0.11762,0.00263,0.34,2000
"24",0.4308,5,50,250,0,0.4316,0.1305,0.00292,0.18,2000
"25",0.4308,6,42,250,0,0.4237,0.13913,0.00311,-1.65,2000
"26",0.6755,2,125,250,0,0.6799,0.14344,0.00321,0.65,2000
"27",0.6755,3,83,250,0,0.6792,0.14247,0.00319,0.54,2000
"28",0.6755,4,62,250,0,0.6761,0.15086,0.00337,0.1,2000
"29",0.6755,5,50,250,0,0.6719,0.1598,0.00357,-0.54,2000
"30",0.6755,6,42,250,0,0.6688,0.16785,0.00375,-0.99,2000
"31",0.0201,2,250,500,0,0.0228,0.01485,0.00033,13.56,2000
"32",0.0201,3,167,500,0,0.0226,0.01486,0.00033,12.48,2000
"33",0.0201,4,125,500,0,0.0236,0.016,0.00036,17.59,2000
"34",0.0201,5,100,500,0,0.0237,0.01688,0.00038,18.07,2000
"35",0.0201,6,83,500,0,0.0247,0.01857,0.00042,23.3,2000
"36",0.0403,2,250,500,0,0.0419,0.02471,0.00055,4.09,2000
"37",0.0403,3,167,500,0,0.0398,0.02342,0.00052,-1.1,2000
"38",0.0403,4,125,500,0,0.0424,0.02616,0.00058,5.37,2000
"39",0.0403,5,100,500,0,0.0424,0.0276,0.00062,5.24,2000
"40",0.0403,6,83,500,0,0.0431,0.02867,0.00064,7.02,2000
"41",0.1017,2,250,500,0,0.1007,0.03893,0.00087,-1.05,2000
"42",0.1017,3,167,500,0,0.1012,0.03926,0.00088,-0.54,2000
"43",0.1017,4,125,500,0,0.1008,0.04297,0.00096,-0.92,2000
"44",0.1017,5,100,500,0,0.1037,0.04524,0.00101,1.95,2000
"45",0.1017,6,83,500,0,0.1004,0.04973,0.00111,-1.26,2000
"46",0.2071,2,250,500,0,0.2101,0.05933,0.00133,1.44,2000
"47",0.2071,3,167,500,0,0.2064,0.05656,0.00126,-0.38,2000
"48",0.2071,4,125,500,0,0.2079,0.06005,0.00134,0.35,2000
"49",0.2071,5,100,500,0,0.2097,0.06585,0.00147,1.23,2000
"50",0.2071,6,83,500,0,0.206,0.07087,0.00158,-0.56,2000
"51",0.4308,2,250,500,0,0.4296,0.08247,0.00184,-0.28,2000
"52",0.4308,3,167,500,0,0.4336,0.08188,0.00183,0.65,2000
"53",0.4308,4,125,500,0,0.429,0.08415,0.00188,-0.42,2000
