"","lamsim","nsamp","alphause","npers","alpha","meanlamest","stddevlamest","stderrlamest","pbiaslamest","nreps"
"1",0.0201,3,0,500,0,0.0206,0.00934,0.00021,2.72,2000
"2",0.0403,3,0,500,0,0.0404,0.01484,0.00033,0.39,2000
"3",0.1017,3,0,500,0,0.1016,0.02262,0.00051,-0.16,2000
"4",0.2071,3,0,500,0,0.2066,0.03308,0.00074,-0.28,2000
"5",0.4308,3,0,500,0,0.4319,0.04647,0.00104,0.24,2000
"6",0.6755,3,0,500,0,0.6768,0.05872,0.00131,0.2,2000
"7",0.0201,3,0.1,500,0,0.0211,0.00963,0.00022,5.33,2000
"8",0.0403,3,0.1,500,0,0.0405,0.01434,0.00032,0.52,2000
"9",0.1017,3,0.1,500,0,0.1011,0.02279,0.00051,-0.63,2000
"10",0.2071,3,0.1,500,0,0.2085,0.03204,0.00072,0.65,2000
"11",0.4308,3,0.1,500,0,0.4318,0.04559,0.00102,0.22,2000
"12",0.6755,3,0.1,500,0,0.6766,0.05774,0.00129,0.17,2000
"13",0.0201,3,0.25,500,0,0.0211,0.0095,0.00021,5.11,2000
"14",0.0403,3,0.25,500,0,0.0412,0.015,0.00034,2.35,2000
"15",0.1017,3,0.25,500,0,0.1036,0.02348,0.00053,1.84,2000
"16",0.2071,3,0.25,500,0,0.2106,0.03234,0.00072,1.69,2000
"17",0.4308,3,0.25,500,0,0.4384,0.04707,0.00105,1.75,2000
"18",0.6755,3,0.25,500,0,0.6861,0.05817,0.0013,1.57,2000
"19",0.0201,3,0.5,500,0,0.0219,0.01,0.00022,9.02,2000
"20",0.0403,3,0.5,500,0,0.0432,0.01531,0.00034,7.21,2000
"21",0.1017,3,0.5,500,0,0.1087,0.02556,0.00057,6.84,2000
"22",0.2071,3,0.5,500,0,0.2216,0.03437,0.00077,6.98,2000
"23",0.4308,3,0.5,500,0,0.4632,0.05036,0.00113,7.5,2000
"24",0.6755,3,0.5,500,0,0.7284,0.0642,0.00144,7.83,2000
"25",0.0201,3,1,500,0,0.0264,0.01233,0.00028,31.67,2000
"26",0.0403,3,1,500,0,0.0508,0.01868,0.00042,26.18,2000
"27",0.1017,3,1,500,0,0.1304,0.03058,0.00068,28.17,2000
"28",0.2071,3,1,500,0,0.2675,0.04216,0.00094,29.15,2000
"29",0.4308,3,1,500,0,0.5664,0.06409,0.00143,31.47,2000
"30",0.6755,3,1,500,0,0.9024,0.08318,0.00186,33.59,2000
"31",0.0201,3,0,500,1,0.0169,0.00736,0.00016,-15.95,2000
"32",0.0403,3,0,500,1,0.0313,0.01298,0.00029,-22.2,2000
"33",0.1017,3,0,500,1,0.0797,0.0216,0.00048,-21.63,2000
"34",0.2071,3,0,500,1,0.161,0.02861,0.00064,-22.27,2000
